registro;retorno;rentabilidade;empresa;tag;tipo;retabilidade_ano;prazo;distribuidor;emissor;meses;
192;5.221;94.00;BS2 94% CDI por Órama;FGC;CDB;9.11% a.a.;17/04/2023;Órama;BS2;6;5221
193;5.216;92.00;BS2 92% CDI por Nova Futura Investimentos;FGC;CDB;8.92% a.a.;17/04/2023;Nova Futura Investimentos;BS2;6;5216
194;5.214;91.00;BS2 91% CDI por Guide Investimentos;FGC;CDB;8.83% a.a.;17/04/2023;Guide Investimentos;BS2;6;5214
195;5.589;14.47;BTG Pactual IPCA + 8.3% por Nu invest;FGC;CDB;11.94% a.a.;15/10/2023;Nu invest;BTG Pactual;12;5589
196;5.568;11.52;BTG Pactual IPCA + 5.5% por Nu invest;FGC;LCA;11.52% a.a.;15/10/2023;Nu invest;BTG Pactual;12;5568
197;5.567;13.87;BTG Pactual IPCA + 7.73% por Nova Futura Investimentos;FGC;CDB;11.44% a.a.;16/10/2023;Nova Futura Investimentos;BTG Pactual;12;5567
198;5.556;11.22;BTG Pactual IPCA + 5.22% por Nova Futura Investimentos;FGC;LCA;11.22% a.a.;16/10/2023;Nova Futura Investimentos;BTG Pactual;12;5556
199;5.545;13.34;BTG Pactual IPCA + 7.23% por modalmais;FGC;CDB;11.01% a.a.;16/10/2023;modalmais;BTG Pactual;12;5545
200;5.539;13.20;BTG Pactual Prefixado 13.2% por Nova Futura Investimentos;FGC;CDB;10.88% a.a.;16/10/2023;Nova Futura Investimentos;BTG Pactual;12;5539
201;5.531;90.00;BTG Pactual 90% CDI por Nova Futura Investimentos;FGC;LCA;10.72% a.a.;16/10/2023;Nova Futura Investimentos;BTG Pactual;12;5531
202;5.531;10.71;BTG Pactual Prefixado 10.71% por Nova Futura Investimentos;FGC;LCA;10.71% a.a.;16/10/2023;Nova Futura Investimentos;BTG Pactual;12;5531
203;5.530;10.69;BTG Pactual IPCA + 4.72% por modalmais;FGC;LCA;10.69% a.a.;16/10/2023;modalmais;BTG Pactual;12;5530
204;5.514;104.75;BTG Pactual 104.75% CDI por BTG Pactual;FGC;CDB;10.29% a.a.;18/10/2023;BTG Pactual;BTG Pactual;12;5514
205;5.503;102.50;BTG Pactual 102.5% CDI por BTG Pactual;FGC;CDB;10.07% a.a.;18/10/2023;BTG Pactual;BTG Pactual;12;5503
206;5.500;101.75;BTG Pactual 101.75% CDI por BTG Pactual;FGC;CDB;10.00% a.a.;18/10/2023;BTG Pactual;BTG Pactual;12;5500
207;5.491;101.75;BTG Pactual 101.75% CDI por Nova Futura Investimentos;FGC;CDB;10.00% a.a.;12/10/2023;Nova Futura Investimentos;BTG Pactual;12;5491
208;5.474;9.60;BTG Pactual Prefixado 9.6% por Daycoval;FGC;LCA;9.60% a.a.;14/10/2023;Daycoval;BTG Pactual;12;5474
209;6189;1123;BTG Pactual IPCA + 5.23% por Nova Futura Investimentos;FGC;LCA;11.23% a.a.;18/10/2024;Nova Futura Investimentos;BTG Pactual;24;6189
210;6160;1279;BTG Pactual IPCA + 6.71% por Nova Futura Investimentos;FGC;CDB;10.97% a.a.;18/10/2024;Nova Futura Investimentos;BTG Pactual;24;6160
211;6142;1269;BTG Pactual IPCA + 6.61% por modalmais;FGC;CDB;10.88% a.a.;15/10/2024;modalmais;BTG Pactual;24;6142
212;6122;1070;BTG Pactual IPCA + 4.73% por modalmais;FGC;LCA;10.70% a.a.;15/10/2024;modalmais;BTG Pactual;24;6122
213;6104;1047;BTG Pactual Prefixado 10.47% por Nova Futura Investimentos;FGC;LCA;10.47% a.a.;18/10/2024;Nova Futura Investimentos;BTG Pactual;24;6104
214;6090;1057;BTG Pactual Prefixado 10.57% por Daycoval;FGC;LCA;10.57% a.a.;06/10/2024;Daycoval;BTG Pactual;24;6090
215;6086;1203;BTG Pactual Prefixado 12.03% por Nova Futura Investimentos;FGC;CDB;10.30% a.a.;18/10/2024;Nova Futura Investimentos;BTG Pactual;24;6086
216;6079;9100;BTG Pactual 91% CDI por Nova Futura Investimentos;FGC;LCA;10.24% a.a.;18/10/2024;Nova Futura Investimentos;BTG Pactual;24;6079
217;6072;10600;BTG Pactual 106% CDI por BTG Pactual;FGC;CDB;10.22% a.a.;16/10/2024;BTG Pactual;BTG Pactual;24;6072
218;6058;1027;BTG Pactual Prefixado 10.27% por modalmais;FGC;LCA;10.27% a.a.;06/10/2024;modalmais;BTG Pactual;24;6058
219;6045;10300;BTG Pactual 103% CDI por Nova Futura Investimentos;FGC;CDB;9.93% a.a.;18/10/2024;Nova Futura Investimentos;BTG Pactual;24;6045
220;8197;1191;BTG Pactual IPCA + 5.87% por Nova Futura Investimentos;FGC;CDB;10.42% a.a.;16/10/2027;Nova Futura Investimentos;BTG Pactual;60;8197
221;8179;1037;BTG Pactual IPCA + 4.42% por Nova Futura Investimentos;FGC;LCA;10.37% a.a.;16/10/2027;Nova Futura Investimentos;BTG Pactual;60;8179
222;8162;1180;BTG Pactual IPCA + 5.77% por modalmais;FGC;CDB;10.33% a.a.;16/10/2027;modalmais;BTG Pactual;60;8162
223;8159;10579;BTG Pactual 105.79% CDI por BTG Pactual;FGC;CDB;10.32% a.a.;16/10/2027;BTG Pactual;BTG Pactual;60;8159
224;8130;1171;BTG Pactual Prefixado 11.71% por Nova Futura Investimentos;FGC;CDB;10.24% a.a.;16/10/2027;Nova Futura Investimentos;BTG Pactual;60;8130
225;8106;1018;BTG Pactual Prefixado 10.18% por Nova Futura Investimentos;FGC;LCA;10.18% a.a.;16/10/2027;Nova Futura Investimentos;BTG Pactual;60;8106
226;8079;9064;BTG Pactual 90.64% CDI por Nova Futura Investimentos;FGC;LCA;10.10% a.a.;16/10/2027;Nova Futura Investimentos;BTG Pactual;60;8079
227;8049;10279;BTG Pactual 102.79% CDI por Nova Futura Investimentos;FGC;CDB;10.02% a.a.;16/10/2027;Nova Futura Investimentos;BTG Pactual;60;8049
228;7985;984;BTG Pactual IPCA + 3.92% por modalmais;FGC;LCA;9.84% a.a.;16/10/2027;modalmais;BTG Pactual;60;7985
229;5.289;12.01;BTG Pactual Prefixado 12.01% por BTG Pactual;FGC;LCA;12.01% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5289
230;5.289;12.01;BTG Pactual Prefixado 12.01% por BTG Pactual;FGC;LCI;12.01% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5289
231;5.286;11.71;BTG Pactual Prefixado 11.71% por Nova Futura Investimentos;FGC;LCA;11.71% a.a.;19/04/2023;Nova Futura Investimentos;BTG Pactual;6;5286
232;5.285;11.84;BTG Pactual Prefixado 11.84% por Ágora Investimentos;FGC;LCA;11.84% a.a.;17/04/2023;Ágora Investimentos;BTG Pactual;6;5285
233;5.278;11.56;BTG Pactual Prefixado 11.56% por Nu invest;FGC;LCA;11.56% a.a.;17/04/2023;Nu invest;BTG Pactual;6;5278
234;5.268;14.02;BTG Pactual Prefixado 14.02% por BTG Pactual;FGC;CDB;11.14% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5268
235;5.267;91.00;BTG Pactual 91% CDI por BTG Pactual;FGC;LCI;11.09% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5267
236;5.267;13.72;BTG Pactual Prefixado 13.72% por Nova Futura Investimentos;FGC;CDB;10.90% a.a.;19/04/2023;Nova Futura Investimentos;BTG Pactual;6;5267
237;5.265;13.85;BTG Pactual Prefixado 13.85% por Ágora Investimentos;FGC;CDB;11.00% a.a.;17/04/2023;Ágora Investimentos;BTG Pactual;6;5265
238;5.263;88.00;BTG Pactual 88% CDI por Nova Futura Investimentos;FGC;LCA;10.73% a.a.;19/04/2023;Nova Futura Investimentos;BTG Pactual;6;5263
239;5.262;89.00;BTG Pactual 89% CDI por Ágora Investimentos;FGC;LCA;10.85% a.a.;17/04/2023;Ágora Investimentos;BTG Pactual;6;5262
240;5.259;88.00;BTG Pactual 88% CDI por Nu invest;FGC;LCA;10.73% a.a.;17/04/2023;Nu invest;BTG Pactual;6;5259
241;5.245;104.50;BTG Pactual 104.5% CDI por BTG Pactual;FGC;CDB;10.13% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5245
242;5.242;103.50;BTG Pactual 103.5% CDI por BTG Pactual;FGC;CDB;10.03% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5242
243;5.242;103.25;BTG Pactual 103.25% CDI por BTG Pactual;FGC;CDB;10.01% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5242
244;5.241;103.00;BTG Pactual 103% CDI por BTG Pactual;FGC;CDB;9.98% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5241
245;5.241;102.75;BTG Pactual 102.75% CDI por BTG Pactual;FGC;CDB;9.96% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5241
246;5.240;102.50;BTG Pactual 102.5% CDI por BTG Pactual;FGC;CDB;9.93% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5240
247;5.240;102.50;BTG Pactual 102.5% CDI por BTG Pactual;FGC;CDB;9.93% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5240
248;5.240;102.50;BTG Pactual 102.5% CDI por BTG Pactual;FGC;CDB;9.93% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5240
249;5.240;102.50;BTG Pactual 102.5% CDI por Ágora Investimentos;FGC;CDB;9.93% a.a.;17/04/2023;Ágora Investimentos;BTG Pactual;6;5240
250;5.240;102.25;BTG Pactual 102.25% CDI por BTG Pactual;FGC;CDB;9.91% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5240
251;5.239;102.00;BTG Pactual 102% CDI por BTG Pactual;FGC;CDB;9.89% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5239
252;5.239;102.00;BTG Pactual 102% CDI por BTG Pactual;FGC;CDB;9.89% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5239
253;5.238;101.75;BTG Pactual 101.75% CDI por BTG Pactual;FGC;CDB;9.86% a.a.;17/04/2023;BTG Pactual;BTG Pactual;6;5238
254;5.229;101.50;BTG Pactual 101.5% CDI por Nova Futura Investimentos;FGC;CDB;9.52% a.a.;15/04/2023;Nova Futura Investimentos;BTG Pactual;6;5229
255;5.546;13.37;BV Prefixado 13.37% por Nova Futura Investimentos;FGC;CDB;11.02% a.a.;16/10/2023;Nova Futura Investimentos;BV;12;5546
256;5.539;13.13;BV IPCA + 7.03% por Nova Futura Investimentos;FGC;CDB;10.83% a.a.;17/10/2023;Nova Futura Investimentos;BV;12;5539
257;5.481;98.70;BV 98.7% CDI por Nova Futura Investimentos;FGC;CDB;9.70% a.a.;16/10/2023;Nova Futura Investimentos;BV;12;5481
258;6102;1225;BV Prefixado 12.25% por Nova Futura Investimentos;FGC;CDB;10.49% a.a.;16/10/2024;Nova Futura Investimentos;BV;24;6102
259;6066;1181;BV IPCA + 5.78% por Nova Futura Investimentos;FGC;CDB;10.12% a.a.;18/10/2024;Nova Futura Investimentos;BV;24;6066
260;6014;10051;BV 100.51% CDI por Nova Futura Investimentos;FGC;CDB;9.69% a.a.;16/10/2024;Nova Futura Investimentos;BV;24;6014
261;5.556;13.60;C6 Bank Prefixado 13.6% por Nova Futura Investimentos;FGC;CDB;11.21% a.a.;16/10/2023;Nova Futura Investimentos;C6 Bank;12;5556
262;5.548;13.40;C6 Bank Prefixado 13.4% por modalmais;FGC;CDB;11.05% a.a.;16/10/2023;modalmais;C6 Bank;12;5548
263;5.511;12.55;C6 Bank Prefixado 12.55% por Daycoval;FGC;CDB;10.35% a.a.;14/10/2023;Daycoval;C6 Bank;12;5511
264;5.506;104.00;C6 Bank 104% CDI por Nova Futura Investimentos;FGC;CDB;10.22% a.a.;16/10/2023;Nova Futura Investimentos;C6 Bank;12;5506
265;5.506;104.00;C6 Bank 104% CDI por modalmais;FGC;CDB;10.22% a.a.;16/10/2023;modalmais;C6 Bank;12;5506
266;5.504;103.00;C6 Bank 103% CDI por Guide Investimentos;FGC;CDB;10.12% a.a.;17/10/2023;Guide Investimentos;C6 Bank;12;5504
267;5.495;102.00;C6 Bank 102% CDI por Daycoval;FGC;CDB;10.02% a.a.;14/10/2023;Daycoval;C6 Bank;12;5495
268;6133;1260;C6 Bank Prefixado 12.6% por Nova Futura Investimentos;FGC;CDB;10.80% a.a.;15/10/2024;Nova Futura Investimentos;C6 Bank;24;6133
269;6115;1260;C6 Bank Prefixado 12.6% por Daycoval;FGC;CDB;10.79% a.a.;06/10/2024;Daycoval;C6 Bank;24;6115
270;6096;1240;C6 Bank Prefixado 12.4% por modalmais;FGC;CDB;10.62% a.a.;06/10/2024;modalmais;C6 Bank;24;6096
271;6091;10800;C6 Bank 108% CDI por Nova Futura Investimentos;FGC;CDB;10.42% a.a.;15/10/2024;Nova Futura Investimentos;C6 Bank;24;6091
272;6088;10700;C6 Bank 107% CDI por Guide Investimentos;FGC;CDB;10.32% a.a.;19/10/2024;Guide Investimentos;C6 Bank;24;6088
273;6074;10800;C6 Bank 108% CDI por modalmais;FGC;CDB;10.41% a.a.;06/10/2024;modalmais;C6 Bank;24;6074
274;6064;10700;C6 Bank 107% CDI por Daycoval;FGC;CDB;10.32% a.a.;06/10/2024;Daycoval;C6 Bank;24;6064
275;5.278;14.05;C6 Bank Prefixado 14.05% por Órama;FGC;CDB;11.16% a.a.;24/04/2023;Órama;C6 Bank;6;5278
276;5.271;13.90;C6 Bank Prefixado 13.9% por Guide Investimentos;FGC;CDB;11.04% a.a.;19/04/2023;Guide Investimentos;C6 Bank;6;5271
277;5.271;14.13;C6 Bank Prefixado 14.13% por Ágora Investimentos;FGC;CDB;11.22% a.a.;17/04/2023;Ágora Investimentos;C6 Bank;6;5271
278;5.268;14.00;C6 Bank Prefixado 14% por BTG Pactual;FGC;CDB;11.12% a.a.;17/04/2023;BTG Pactual;C6 Bank;6;5268
279;5.266;14.00;C6 Bank Prefixado 14% por Nova Futura Investimentos;FGC;CDB;11.12% a.a.;16/04/2023;Nova Futura Investimentos;C6 Bank;6;5266
280;5.247;102.00;C6 Bank 102% CDI por Órama;FGC;CDB;9.89% a.a.;24/04/2023;Órama;C6 Bank;6;5247
281;5.239;102.00;C6 Bank 102% CDI por BTG Pactual;FGC;CDB;9.89% a.a.;17/04/2023;BTG Pactual;C6 Bank;6;5239
282;5.239;102.00;C6 Bank 102% CDI por Ágora Investimentos;FGC;CDB;9.89% a.a.;17/04/2023;Ágora Investimentos;C6 Bank;6;5239
283;5.239;101.00;C6 Bank 101% CDI por Guide Investimentos;FGC;CDB;9.79% a.a.;18/04/2023;Guide Investimentos;C6 Bank;6;5239
284;5.237;102.00;C6 Bank 102% CDI por Nova Futura Investimentos;FGC;CDB;9.89% a.a.;16/04/2023;Nova Futura Investimentos;C6 Bank;6;5237
285;5.237;102.00;C6 Bank 102% CDI por modalmais;FGC;CDB;9.89% a.a.;16/04/2023;modalmais;C6 Bank;6;5237
286;5.235;101.00;C6 Bank 101% CDI por Daycoval;FGC;CDB;9.79% a.a.;16/04/2023;Daycoval;C6 Bank;6;5235
287;5.230;12.05;C6 Bank Prefixado 12.05% por Daycoval;FGC;CDB;9.58% a.a.;16/04/2023;Daycoval;C6 Bank;6;5230
288;5957;9600;Caixa Geral 96% CDI por  rama;FGC;CDB;9.25% a.a.;10/10/2024; rama;Caixa Geral;24;5957
289;5.225;96.00;Caixa Geral 96% CDI por Órama;FGC;CDB;9.31% a.a.;17/04/2023;Órama;Caixa Geral;6;5225
290;5.528;109.00;Caruana Financeira 109% CDI por Daycoval;FGC;CDB;10.71% a.a.;14/10/2023;Daycoval;Caruana Financeira;12;5528
291;5.511;105.00;Caruana Financeira 105% CDI por Nova Futura Investimentos;FGC;CDB;10.32% a.a.;16/10/2023;Nova Futura Investimentos;Caruana Financeira;12;5511
292;5.511;105.00;Caruana Financeira 105% CDI por modalmais;FGC;CDB;10.32% a.a.;16/10/2023;modalmais;Caruana Financeira;12;5511
293;6114;1240;Caruana Financeira Prefixado 12.4% por Nova Futura Investimentos;FGC;CDB;10.62% a.a.;15/10/2024;Nova Futura Investimentos;Caruana Financeira;24;6114
294;6113;11000;Caruana Financeira 110% CDI por modalmais;FGC;CDB;10.61% a.a.;15/10/2024;modalmais;Caruana Financeira;24;6113
295;6113;11000;Caruana Financeira 110% CDI por Nova Futura Investimentos;FGC;CDB;10.61% a.a.;15/10/2024;Nova Futura Investimentos;Caruana Financeira;24;6113
296;6106;11100;Caruana Financeira 111% CDI por Daycoval;FGC;CDB;10.71% a.a.;06/10/2024;Daycoval;Caruana Financeira;24;6106
297;6096;1240;Caruana Financeira Prefixado 12.4% por Daycoval;FGC;CDB;10.62% a.a.;06/10/2024;Daycoval;Caruana Financeira;24;6096
298;6095;1220;Caruana Financeira Prefixado 12.2% por modalmais;FGC;CDB;10.45% a.a.;15/10/2024;modalmais;Caruana Financeira;24;6095
299;8620;11800;Caruana Financeira 118% CDI por modalmais;FGC;CDB;11.54% a.a.;15/10/2027;modalmais;Caruana Financeira;60;8620
300;8620;11800;Caruana Financeira 118% CDI por Nova Futura Investimentos;FGC;CDB;11.54% a.a.;15/10/2027;Nova Futura Investimentos;Caruana Financeira;60;8620
301;8581;11700;Caruana Financeira 117% CDI por Nu invest;FGC;CDB;11.44% a.a.;17/10/2027;Nu invest;Caruana Financeira;60;8581
302;8377;1245;Caruana Financeira Prefixado 12.45% por Nova Futura Investimentos;FGC;CDB;10.91% a.a.;15/10/2027;Nova Futura Investimentos;Caruana Financeira;60;8377
303;8127;1170;Caruana Financeira Prefixado 11.7% por modalmais;FGC;CDB;10.23% a.a.;15/10/2027;modalmais;Caruana Financeira;60;8127
304;5.239;103.00;Caruana Financeira 103% CDI por Daycoval;FGC;CDB;9.98% a.a.;16/04/2023;Daycoval;Caruana Financeira;6;5239
305;5.237;101.00;Caruana Financeira 101% CDI por Ágora Investimentos;FGC;CDB;9.79% a.a.;17/04/2023;Ágora Investimentos;Caruana Financeira;6;5237
306;5.234;100.00;Caruana Financeira 100% CDI por BTG Pactual;FGC;CDB;9.69% a.a.;17/04/2023;BTG Pactual;Caruana Financeira;6;5234
307;5.233;100.00;Caruana Financeira 100% CDI por modalmais;FGC;CDB;9.69% a.a.;16/04/2023;modalmais;Caruana Financeira;6;5233
308;5.233;100.00;Caruana Financeira 100% CDI por Nova Futura Investimentos;FGC;CDB;9.69% a.a.;16/04/2023;Nova Futura Investimentos;Caruana Financeira;6;5233
309;5.205;10.63;Caruana Financeira Prefixado 10.63% por Ágora Investimentos;FGC;CDB;8.46% a.a.;17/04/2023;Ágora Investimentos;Caruana Financeira;6;5205
310;6180;11700;Credipar Financeira 117% CDI por  rama;FGC;LC;11.29% a.a.;10/10/2024; rama;Credipar Financeira;24;6180
311;5.592;12.00;Daycoval Prefixado 12% por Daycoval;FGC;LCA;12.00% a.a.;14/10/2023;Daycoval;Daycoval;12;5592
312;5.511;105.00;Daycoval 105% CDI por Daycoval;FGC;CDB;10.32% a.a.;16/10/2023;Daycoval;Daycoval;12;5511
313;5.502;103.00;Daycoval 103% CDI por Daycoval;FGC;CDB;10.12% a.a.;16/10/2023;Daycoval;Daycoval;12;5502
314;5.497;102.00;Daycoval 102% CDI por Daycoval;FGC;CDB;10.02% a.a.;16/10/2023;Daycoval;Daycoval;12;5497
315;5.496;106.00;Daycoval 106% CDI por Daycoval;FGC;CDB;10.10% a.a.;11/10/2023;Daycoval;Daycoval;12;5496
316;5.492;101.00;Daycoval 101% CDI por Daycoval;FGC;CDB;9.92% a.a.;16/10/2023;Daycoval;Daycoval;12;5492
317;5.488;99.00;Daycoval 99% CDI por Guide Investimentos;FGC;CDB;9.73% a.a.;19/10/2023;Guide Investimentos;Daycoval;12;5488
318;5.483;12.30;Daycoval Prefixado 12.3% por Daycoval;FGC;CDB;9.83% a.a.;11/10/2023;Daycoval;Daycoval;12;5483
319;6075;1251;Daycoval IPCA + 6.44% por Daycoval;FGC;CDB;10.42% a.a.;05/10/2024;Daycoval;Daycoval;24;6075
320;6043;10500;Daycoval 105% CDI por Daycoval;FGC;CDB;10.12% a.a.;06/10/2024;Daycoval;Daycoval;24;6043
321;6043;10800;Daycoval 108% CDI por Daycoval;FGC;CDB;10.12% a.a.;05/10/2024;Daycoval;Daycoval;24;6043
322;6042;1215;Daycoval Prefixado 12.15% por Daycoval;FGC;CDB;10.11% a.a.;05/10/2024;Daycoval;Daycoval;24;6042
323;6022;10300;Daycoval 103% CDI por Daycoval;FGC;CDB;9.93% a.a.;06/10/2024;Daycoval;Daycoval;24;6022
324;6011;10200;Daycoval 102% CDI por Daycoval;FGC;CDB;9.83% a.a.;06/10/2024;Daycoval;Daycoval;24;6011
325;6001;10100;Daycoval 101% CDI por Daycoval;FGC;CDB;9.73% a.a.;06/10/2024;Daycoval;Daycoval;24;6001
326;5.244;105.00;Daycoval 105% CDI por Daycoval;FGC;CDB;10.18% a.a.;16/04/2023;Daycoval;Daycoval;6;5244
327;5.241;103.00;Daycoval 103% CDI por Daycoval;FGC;CDB;9.98% a.a.;17/04/2023;Daycoval;Daycoval;6;5241
328;5.239;102.00;Daycoval 102% CDI por Daycoval;FGC;CDB;9.89% a.a.;17/04/2023;Daycoval;Daycoval;6;5239
329;5.237;102.00;Daycoval 102% CDI por Nu invest;FGC;CDB;9.89% a.a.;16/04/2023;Nu invest;Daycoval;6;5237
330;5.237;101.00;Daycoval 101% CDI por Daycoval;FGC;CDB;9.79% a.a.;17/04/2023;Daycoval;Daycoval;6;5237
331;5.232;99.00;Daycoval 99% CDI por Guide Investimentos;FGC;CDB;9.60% a.a.;17/04/2023;Guide Investimentos;Daycoval;6;5232
332;5.230;12.05;Daycoval Prefixado 12.05% por Daycoval;FGC;CDB;9.58% a.a.;16/04/2023;Daycoval;Daycoval;6;5230
333;5.560;13.77;Digimais Prefixado 13.77% por Nova Futura Investimentos;FGC;CDB;11.35% a.a.;13/10/2023;Nova Futura Investimentos;Digimais;12;5560
334;5.472;97.00;Digimais 97% CDI por modalmais;FGC;CDB;9.53% a.a.;16/10/2023;modalmais;Digimais;12;5472
335;5.470;97.00;Digimais 97% CDI por Nova Futura Investimentos;FGC;CDB;9.53% a.a.;13/10/2023;Nova Futura Investimentos;Digimais;12;5470
336;6187;1336;Digimais Prefixado 13.36% por Nova Futura Investimentos;FGC;CDB;11.45% a.a.;06/10/2024;Nova Futura Investimentos;Digimais;24;6187
337;6177;11600;Digimais 116% CDI por modalmais;FGC;CDB;11.19% a.a.;15/10/2024;modalmais;Digimais;24;6177
338;6161;11400;Digimais 114% CDI por Guide Investimentos;FGC;CDB;11.00% a.a.;17/10/2024;Guide Investimentos;Digimais;24;6161
339;6158;11600;Digimais 116% CDI por Nova Futura Investimentos;FGC;CDB;11.19% a.a.;06/10/2024;Nova Futura Investimentos;Digimais;24;6158
340;5945;9400;Digimais 94% CDI por Guide Investimentos;FGC;CDB;9.06% a.a.;16/10/2024;Guide Investimentos;Digimais;24;5945
341;8697;12000;Digimais 120% CDI por modalmais;FGC;CDB;11.74% a.a.;15/10/2027;modalmais;Digimais;60;8697
342;8593;11700;Digimais 117% CDI por Guide Investimentos;FGC;CDB;11.44% a.a.;20/10/2027;Guide Investimentos;Digimais;60;8593
343;5.225;96.00;Digimais 96% CDI por Ágora Investimentos;FGC;CDB;9.31% a.a.;17/04/2023;Ágora Investimentos;Digimais;6;5225
344;5.221;94.00;Digimais 94% CDI por Guide Investimentos;FGC;CDB;9.11% a.a.;17/04/2023;Guide Investimentos;Digimais;6;5221
345;5.221;94.00;Digimais 94% CDI por Guide Investimentos;FGC;CDB;9.11% a.a.;17/04/2023;Guide Investimentos;Digimais;6;5221
346;5.580;14.25;Facta Financeira Prefixado 14.25% por XP Investimentos;FGC;CDB;11.75% a.a.;15/10/2023;XP Investimentos;Facta Financeira;12;5580
347;5.536;110.00;Facta Financeira 110% CDI por Órama;FGC;CDB;10.81% a.a.;16/10/2023;Órama;Facta Financeira;12;5536
348;6259;1395;Facta Financeira Prefixado 13.95% por XP Investimentos;FGC;CDB;11.96% a.a.;14/10/2024;XP Investimentos;Facta Financeira;24;6259
349;5.253;109.00;Facta Financeira 109% CDI por XP Investimentos;FGC;CDB;10.56% a.a.;16/04/2023;XP Investimentos;Facta Financeira;6;5253
350;5.545;111.00;Fator 111% CDI por Ágora Investimentos;FGC;CDB;10.91% a.a.;18/10/2023;Ágora Investimentos;Fator;12;5545
351;5.515;110.00;Fator 110% CDI por Nova Futura Investimentos;FGC;CDB;10.48% a.a.;11/10/2023;Nova Futura Investimentos;Fator;12;5515
352;5.425;10.50;Fator Prefixado 10.5% por Nova Futura Investimentos;FGC;CDB;8.66% a.a.;12/10/2023;Nova Futura Investimentos;Fator;12;5425
353;6163;11400;Fator 114% CDI por  gora Investimentos;FGC;CDB;11.00% a.a.;18/10/2024; gora Investimentos;Fator;24;6163
354;6127;11300;Fator 113% CDI por Nova Futura Investimentos;FGC;CDB;10.90% a.a.;06/10/2024;Nova Futura Investimentos;Fator;24;6127
355;5936;1067;Fator IPCA + 4.7% por Nova Futura Investimentos;FGC;CDB;9.13% a.a.;06/10/2024;Nova Futura Investimentos;Fator;24;5936
356;5920;1050;Fator Prefixado 10.5% por Nova Futura Investimentos;FGC;CDB;8.98% a.a.;06/10/2024;Nova Futura Investimentos;Fator;24;5920
357;5.244;104.00;Fator 104% CDI por Ágora Investimentos;FGC;CDB;10.08% a.a.;17/04/2023;Ágora Investimentos;Fator;6;5244
358;5.232;103.00;Fator 103% CDI por Nova Futura Investimentos;FGC;CDB;9.66% a.a.;15/04/2023;Nova Futura Investimentos;Fator;6;5232
359;5.552;13.50;Focus Financeira Prefixado 13.5% por modalmais;FGC;CDB;11.13% a.a.;16/10/2023;modalmais;Focus Financeira;12;5552
360;6190;1320;Focus Financeira Prefixado 13.2% por modalmais;FGC;CDB;11.31% a.a.;15/10/2024;modalmais;Focus Financeira;24;6190
361;5.239;102.00;ICBC 102% CDI por BTG Pactual;FGC;CDB;9.89% a.a.;17/04/2023;BTG Pactual;ICBC;6;5239
362;5.523;106.00;Luso Brasileiro 106% CDI por Guide Investimentos;FGC;CDB;10.42% a.a.;19/10/2023;Guide Investimentos;Luso Brasileiro;12;5523
363;5.521;107.00;Luso Brasileiro 107% CDI por Nova Futura Investimentos;FGC;CDB;10.51% a.a.;16/10/2023;Nova Futura Investimentos;Luso Brasileiro;12;5521
364;5.514;105.50;Luso Brasileiro 105.5% CDI por XP Investimentos;FGC;CDB;10.37% a.a.;16/10/2023;XP Investimentos;Luso Brasileiro;12;5514
365;6123;11100;Luso Brasileiro 111% CDI por modalmais;FGC;CDB;10.71% a.a.;15/10/2024;modalmais;Luso Brasileiro;24;6123
366;6123;11100;Luso Brasileiro 111% CDI por modalmais;FGC;CDB;10.71% a.a.;15/10/2024;modalmais;Luso Brasileiro;24;6123
367;6123;11100;Luso Brasileiro 111% CDI por Nova Futura Investimentos;FGC;CDB;10.71% a.a.;15/10/2024;Nova Futura Investimentos;Luso Brasileiro;24;6123
368;6120;11000;Luso Brasileiro 110% CDI por Guide Investimentos;FGC;CDB;10.61% a.a.;20/10/2024;Guide Investimentos;Luso Brasileiro;24;6120
369;6102;10900;Luso Brasileiro 109% CDI por XP Investimentos;FGC;CDB;10.51% a.a.;15/10/2024;XP Investimentos;Luso Brasileiro;24;6102
370;8505;11500;Luso Brasileiro 115% CDI por Nova Futura Investimentos;FGC;CDB;11.24% a.a.;15/10/2027;Nova Futura Investimentos;Luso Brasileiro;60;8505
371;8485;11400;Luso Brasileiro 114% CDI por Guide Investimentos;FGC;CDB;11.14% a.a.;22/10/2027;Guide Investimentos;Luso Brasileiro;60;8485
