registro;retorno;rentabilidade;empresa;tag;tipo;retabilidade_ano;prazo;distribuidor;emissor;meses;
467;5.516;106.00;Pine 106% CDI por modalmais;FGC;CDB;10.41% a.a.;16/10/2023;modalmais;Pine;12;5516
468;5.516;12.68;Pine Prefixado 12.68% por Daycoval;FGC;CDB;10.45% a.a.;14/10/2023;Daycoval;Pine;12;5516
469;5.513;105.00;Pine 105% CDI por Guide Investimentos;FGC;CDB;10.32% a.a.;17/10/2023;Guide Investimentos;Pine;12;5513
470;5.505;12.36;Pine Prefixado 12.36% por modalmais;FGC;CDB;10.19% a.a.;16/10/2023;modalmais;Pine;12;5505
471;6168;1316;Pine Prefixado 13.16% por modalmais;FGC;CDB;11.28% a.a.;06/10/2024;modalmais;Pine;24;6168
472;6106;11100;Pine 111% CDI por Daycoval;FGC;CDB;10.71% a.a.;06/10/2024;Daycoval;Pine;24;6106
473;6096;10800;Pine 108% CDI por Guide Investimentos;FGC;CDB;10.42% a.a.;17/10/2024;Guide Investimentos;Pine;24;6096
474;6096;1239;Pine Prefixado 12.39% por Daycoval;FGC;CDB;10.61% a.a.;06/10/2024;Daycoval;Pine;24;6096
475;6085;10900;Pine 109% CDI por modalmais;FGC;CDB;10.51% a.a.;06/10/2024;modalmais;Pine;24;6085
476;8510;1284;Pine IPCA + 6.75% por modalmais;FGC;CDB;11.26% a.a.;16/10/2027;modalmais;Pine;60;8510
477;8363;11100;Pine 111% CDI por Guide Investimentos;FGC;CDB;10.84% a.a.;20/10/2027;Guide Investimentos;Pine;60;8363
478;5.307;12.77;Pine Prefixado 12.77% por Pine Online;FGC;LCA;12.77% a.a.;17/04/2023;Pine Online;Pine;6;5307
479;5.291;12.21;Pine Prefixado 12.21% por Ágora Investimentos;FGC;LCA;12.21% a.a.;14/04/2023;Ágora Investimentos;Pine;6;5291
480;5.290;12.08;Pine Prefixado 12.08% por BTG Pactual;FGC;LCA;12.08% a.a.;17/04/2023;BTG Pactual;Pine;6;5290
481;5.279;95.00;Pine 95% CDI por Pine Online;FGC;LCA;11.58% a.a.;17/04/2023;Pine Online;Pine;6;5279
482;5.276;94.00;Pine 94% CDI por BTG Pactual;FGC;LCA;11.46% a.a.;17/04/2023;BTG Pactual;Pine;6;5276
483;5.275;11.70;Pine Prefixado 11.7% por Nu invest;FGC;LCA;11.70% a.a.;12/04/2023;Nu invest;Pine;6;5275
484;5.274;13.82;Pine Prefixado 13.82% por Órama;FGC;CDB;10.98% a.a.;24/04/2023;Órama;Pine;6;5274
485;5.269;94.00;Pine 94% CDI por Nu invest;FGC;LCA;11.46% a.a.;12/04/2023;Nu invest;Pine;6;5269
486;5.267;13.72;Pine Prefixado 13.72% por Guide Investimentos;FGC;CDB;10.90% a.a.;19/04/2023;Guide Investimentos;Pine;6;5267
487;5.267;13.95;Pine Prefixado 13.95% por Ágora Investimentos;FGC;CDB;11.08% a.a.;17/04/2023;Ágora Investimentos;Pine;6;5267
488;5.267;13.92;Pine Prefixado 13.92% por Pine Online;FGC;CDB;11.06% a.a.;17/04/2023;Pine Online;Pine;6;5267
489;5.266;13.87;Pine Prefixado 13.87% por BTG Pactual;FGC;CDB;11.02% a.a.;17/04/2023;BTG Pactual;Pine;6;5266
490;5.241;103.00;Pine 103% CDI por Pine Online;FGC;CDB;9.98% a.a.;17/04/2023;Pine Online;Pine;6;5241
491;5.237;101.00;Pine 101% CDI por Pine Online;FGC;CDB;9.79% a.a.;17/04/2023;Pine Online;Pine;6;5237
492;5.237;101.00;Pine 101% CDI por Ágora Investimentos;FGC;CDB;9.79% a.a.;17/04/2023;Ágora Investimentos;Pine;6;5237
493;5.236;100.50;Pine 100.5% CDI por BTG Pactual;FGC;CDB;9.74% a.a.;17/04/2023;BTG Pactual;Pine;6;5236
494;5.235;101.00;Pine 101% CDI por Daycoval;FGC;CDB;9.79% a.a.;16/04/2023;Daycoval;Pine;6;5235
495;5.234;99.00;Pine 99% CDI por Guide Investimentos;FGC;CDB;9.60% a.a.;18/04/2023;Guide Investimentos;Pine;6;5234
496;5.233;100.00;Pine 100% CDI por modalmais;FGC;CDB;9.69% a.a.;16/04/2023;modalmais;Pine;6;5233
497;5.231;12.10;Pine Prefixado 12.1% por Daycoval;FGC;CDB;9.62% a.a.;16/04/2023;Daycoval;Pine;6;5231
498;5.530;108.75;Realize Financeira 108.75% CDI por XP Investimentos;FGC;CDB;10.68% a.a.;16/10/2023;XP Investimentos;Realize Financeira;12;5530
499;6107;10950;Realize Financeira 109.5% CDI por XP Investimentos;FGC;CDB;10.56% a.a.;15/10/2024;XP Investimentos;Realize Financeira;24;6107
500;5.564;13.80;RNX Prefixado 13.8% por Órama;FGC;CDB;11.38% a.a.;16/10/2023;Órama;RNX;12;5564
501;5.556;13.60;RNX Prefixado 13.6% por modalmais;FGC;CDB;11.21% a.a.;16/10/2023;modalmais;RNX;12;5556
502;5.526;108.00;RNX 108% CDI por Órama;FGC;CDB;10.61% a.a.;16/10/2023;Órama;RNX;12;5526
503;5.516;106.00;RNX 106% CDI por modalmais;FGC;CDB;10.41% a.a.;16/10/2023;modalmais;RNX;12;5516
504;6206;1345;RNX Prefixado 13.45% por  rama;FGC;CDB;11.53% a.a.;10/10/2024; rama;RNX;24;6206
505;6176;1325;RNX Prefixado 13.25% por modalmais;FGC;CDB;11.35% a.a.;06/10/2024;modalmais;RNX;24;6176
506;6116;11100;RNX 111% CDI por  rama;FGC;CDB;10.71% a.a.;10/10/2024; rama;RNX;24;6116
